file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00772_0415_2560410_to_2562810,ས་དེ་ལ་རྟགས་ཅིག་བརྒྱབ་ན་འགྲིག་ས་རེད། སངས་རྒྱས་ཀི་ ,sa de la rtags cig brgyab na 'grig sa red/_sangs rgyas ki _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0415_2560410_to_2562810.wav,STT_TT,2,50,2.4,wav16k/STT_TT00772_0415_2560410_to_2562810.wav,ས་དེ་ལ་རྟགས་ཅིག་བརྒྱབ་ན་འགྲིག་ས་རེད། སངས་རྒྱས་ཀི་
STT_TT00772_0417_2568250_to_2570266,ཨེ། སའི་གྲངས་བཅུ་གཅིག་པ་དང་།  ,e/_sa'i grangs bcu gcig pa dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0417_2568250_to_2570266.wav,STT_TT,2,30,2.016,wav16k/STT_TT00772_0417_2568250_to_2570266.wav,ཨེ། སའི་གྲངས་བཅུ་གཅིག་པ་དང་།
STT_TT00772_0435_2662815_to_2664895,དོན་དག་གཅིག་པ་གཅིག་རྐྱང་རེད་ཞེས་གསུངས་པ་རེད།  ,don dag gcig pa gcig rkyang red zhes gsungs pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0435_2662815_to_2664895.wav,STT_TT,2,46,2.08,wav16k/STT_TT00772_0435_2662815_to_2664895.wav,དོན་དག་གཅིག་པ་གཅིག་རྐྱང་རེད་ཞེས་གསུངས་པ་རེད།
STT_TT00772_0436_2669452_to_2672172,བྱེ་བྲག་མེད་པའི་གཞུང་ལུགས་ནས། རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་སྡེ་བར།  ,bye brag med pa'i gzhung lugs nas/_rnal 'byor chen po'i rgyud sde bar/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0436_2669452_to_2672172.wav,STT_TT,2,64,2.72,wav16k/STT_TT00772_0436_2669452_to_2672172.wav,བྱེ་བྲག་སྨྲན་པའི་གཞུང་ལུགས་ནས། རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་སྡེཔ་
STT_TT00772_0438_2680076_to_2682316,མཐར་ཐུག་འབྲས་བུར་ཁྱད་པར་མེད་ཟེར་གོ་རེད། བྱས་ཙང་།  ,mthar thug 'bras bur khyad par med zer go red/_byas tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0438_2680076_to_2682316.wav,STT_TT,2,50,2.24,wav16k/STT_TT00772_0438_2680076_to_2682316.wav,མཐར་ཐུག་འབྲས་བུར་ཁྱད་པར་མེད་ཟེར་གོ་རེད། བྱས་ཙང་།
STT_TT00772_0455_2768074_to_2770538,སེམས་ཙམ་པའི་གཞུང་ནས་བཤད་པའི་སངས་རྒྱས་དེ། སངས་རྒྱས་མཚན་ཉིད་པ་ ,sems tsam pa'i gzhung nas bshad pa'i sangs rgyas de/_sangs rgyas mtshan nyid pa _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0455_2768074_to_2770538.wav,STT_TT,2,61,2.464,wav16k/STT_TT00772_0455_2768074_to_2770538.wav,སེམས་ཙམ་པའི་གཞུང་ནས་བཤད་པའི་སངས་རྒྱས་དེ་སངས་རྒྱས་ཀྱ་མཚན་ཉིད་པ།
STT_TT00772_0459_2800864_to_2803776,ཁྱོད་སངས་རྒྱས་ཀི་ས་མཚན་ཉིད་པ་ཡིན་པ་ཐལ།  ,khyod sangs rgyas ki sa mtshan nyid pa yin pa thal/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0459_2800864_to_2803776.wav,STT_TT,2,40,2.912,wav16k/STT_TT00772_0459_2800864_to_2803776.wav,ཁྱོད་སངས་རྒྱས་ཀྱི་ས་མཚན་ཉིད་པ་ཡིན་པར་ཐལ།
STT_TT00772_0460_2803968_to_2806272,ཕར་ཕྱིན་ཐེག་པ་ནས་བཤད་པའི་སངས་རྒྱས་དེ།  ,phar phyin theg pa nas bshad pa'i sangs rgyas de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0460_2803968_to_2806272.wav,STT_TT,2,39,2.304,wav16k/STT_TT00772_0460_2803968_to_2806272.wav,ཕར་ཕྱིན་ཐེག་པ་ནས་བཤད་པའི་སངས་རྒྱས་དེ།
STT_TT00772_0461_2806400_to_2808416,སངས་རྒྱས་མཚན་ཉིད་པ་ཡིན་པ་གང་ཞིག ,sangs rgyas mtshan nyid pa yin pa gang zhig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0461_2806400_to_2808416.wav,STT_TT,2,32,2.016,wav16k/STT_TT00772_0461_2806400_to_2808416.wav,སངས་རྒྱས་མཚན་ཉིད་པ་ཡིན་པ་གང་ཞིག
STT_TT00772_0480_2920063_to_2922079,འོན་ཀྱང་ཕར་ཕྱིན་ཐེག་པ་ནས།  ,'on kyang phar phyin theg pa nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0480_2920063_to_2922079.wav,STT_TT,2,27,2.016,wav16k/STT_TT00772_0480_2920063_to_2922079.wav,འོན་ཀྱང་ཕར་ཕྱིན་ཐེག་པ་ནས།
STT_TT00776_0100_832636_to_838447,འདུལ་བ་མདོ་རྩ་བའི། ཨེ་ནས། ཨེ། ཕ་གི་ངེས་པར་འབྱུང་བ་ཚུལ་ཁྲིམས་ཀྱི་དབང་དུ་བྱས་ཏེ་ཟེ་ནས། དགོས་འབྲེལ་ངག་ཅིག་ཡོད་རེད་བ།  ,'dul ba mdo rtsa ba'i/_e nas/_e/_pha gi nges par 'byung ba tshul khrims kyi dbang du byas te ze nas/_dgos 'brel ngag cig yod red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00776_0100_832636_to_838447.wav,STT_TT,2,115,5.811,wav16k/STT_TT00776_0100_832636_to_838447.wav,འདུལ་བ་མདོ་རྩ་བའི། ཨེ་ནས། ཨེ་ ཕ་གི་ངེས་པར་འབྱུང་བ་ཚུལ་ཁྲིམས་ཀྱི་དབང་དུ་བྱས་ཏེ་ཟེར་ནས་ དགོངས་འགྲེལ་ངག་ཅིག་ཡོད་རེད་བ། དེ།
STT_TT00776_0101_838447_to_844257,འདིའི་དགོས་འབྲེལ་ངག་དེ། ཨེ་ནས་ཨེ། མདོ་རྩ་བ་ལ་ཐོས་བསམ་གྱིས་འཇུག་པའི་ཐུན་མོང་མ་ཡིན་པའི་རྒྱུ། ཡིན་ཟེ་དགོས་རྒྱུ་རེད་བ།  ,'di'i dgos 'brel ngag de/_e nas e/_mdo rtsa ba la thos bsam gyis 'jug pa'i thun mong ma yin pa'i rgyu/_yin ze dgos rgyu red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00776_0101_838447_to_844257.wav,STT_TT,2,116,5.81,wav16k/STT_TT00776_0101_838447_to_844257.wav,དེ་འདྲའིི་དགོས་འབྲེལ་ངག་དེ། ཨེ་ནས། ཨེ། མདོ་རྩ་བ་ལ་ཐོས་བསམ་གྱིས་འཇུག་པའི་ཐུན་མོང་མ་ཡིན་པའི་རྒྱུ་ཡིན་ཟེར་དགོས་རྒྱུ་རེད་བ།
STT_TT00772_0535_3273745_to_3276970,རྣམ་དབྱེ་དུ་མ་ཡོད་དེ། དེས་ན། དཔེར་ན་སྡོམ་གསུམ་རབ་དབྱེ་ལས་ཟེ།  ,rnam dbye du ma yod de/_des na/_dper na sdom gsum rab dbye las ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0535_3273745_to_3276970.wav,STT_TT,2,62,3.225,wav16k/STT_TT00772_0535_3273745_to_3276970.wav,རྣམ་དབྱེ་དུ་མ་ཡོད་དེ། དེས་ན་དཔེར་ན་སྡོམ་གསུམ་རབ་དབྱེམ་ལས་ཟེ།
STT_TT00772_0575_3511033_to_3513305,སྡོམ་གསུམ་གི་གཞུང་དེའི་དོན་ཡིན་པ་གང་ཞིག ,sdom gsum gi gzhung de'i don yin pa gang zhig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0575_3511033_to_3513305.wav,STT_TT,2,40,2.272,wav16k/STT_TT00772_0575_3511033_to_3513305.wav,སྡོམ་གསུམ་གི་གཞུང་དེའ་དོན་ཡིན་པ་གང་ཞིག
STT_AB00608_0080_393779_to_396766,ཇི་ལྟར་སྟོན་ཀའི་དུས་ཀྱི་ཟླ་འོད་ ,ji ltar ston ka'i dus kyi zla 'od _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00608_0080_393779_to_396766.wav,STT_AB,2,32,2.987,wav16k/STT_AB00608_0080_393779_to_396766.wav,ཇི་ལྟར་སྟོན་ཀའི་དུས་ཀྱི་ཟླ་འོད་
STT_TT00772_0596_3628122_to_3631290,གྲངས་མེད་གསུམ་གི་རྫོགས་སངས་ཞེས་གསུངས་པའི་ཕྱིར་ཞེ་ན་ཟེར་དུས།  ,grangs med gsum gi rdzogs sangs zhes gsungs pa'i phyir zhe na zer dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0596_3628122_to_3631290.wav,STT_TT,2,61,3.168,wav16k/STT_TT00772_0596_3628122_to_3631290.wav,གྲངས་མེད་གསུམ་གྱི་རྫོགས་སངས། ཞེས་གསུངས་པའི་ཕྱིར་ཞེ་ན་ ཟེར་དུས།
STT_AB00608_0006_27500_to_36254,སྲོག་གཅོད་སོགས་ཀྱི་མི་དགེ་བ་བཅུ་པོ་རེ་རེ་ལ་ཆེན་པོ་དང་འབྲིང་དང་། ཆུང་ངུར་ཕྱེ་བའི་རེ་རེས་རིམ་པ་བཞིན་དུ་ ,srog gcod sogs kyi mi dge ba bcu po re re la chen po dang 'bring dang /_chung ngur phye ba'i re res rim pa bzhin du _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00608_0006_27500_to_36254.wav,STT_AB,2,102,8.754,wav16k/STT_AB00608_0006_27500_to_36254.wav,སྲོག་གཅོད་སོགས་ཀྱི་མི་དགེ་བ་བཅུ་པོ་རེ་རེ་ལ་ཆེན་པོ་དང་འབྲིང་དང་ཆུང་ངུར་ཕྱེ་བའི་རེ་རེས་རིམ་པ་བཞིན་དུ་
STT_AB00608_0013_68592_to_71561,འཁོར་བ་ལ་སྐྲག་པའི་ཡིད་འབྱུང་བ་དང་བཅས་ཤིང་།  ,'khor ba la skrag pa'i yid 'byung ba dang bcas shing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00608_0013_68592_to_71561.wav,STT_AB,2,44,2.969,wav16k/STT_AB00608_0013_68592_to_71561.wav,འཁོར་བ་ལ་སྐྲག་པའི་ངེས་འབྱུང་དང་བཅས་ཤིང་།
STT_TT00796_0027_186117_to_189035,མེ་སྟོབས་ཆེན་པོ། འདུག་སེ་ལབ་རེད། མེ་སྟོབས་ཆེན་པོས་ཁྱབ་པར་ནོན་པའི་གཞི་ཆོས་ཅན་ཟེ།  ,me stobs chen po/_'dug se lab red/_me stobs chen pos khyab par non pa'i gzhi chos can ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00796_0027_186117_to_189035.wav,STT_TT,2,81,2.918,wav16k/STT_TT00796_0027_186117_to_189035.wav,མེ་སྟོབས་ཆེནོ་འདུག་སེ་ལབ་རེད། མེ་སྟོབས་ཆེན་པོས་ཁྱབ་པ་ནོན་པའི་གཞི་ཆོས་ཅན་ཟེ།
STT_TT00772_0656_3979361_to_3981665,འདི་ཚིག་ཤོག་གུ་ཉུང་ཉུང་རེད་དེ།  ,'di tshig shog gu nyung nyung red de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0656_3979361_to_3981665.wav,STT_TT,2,32,2.304,wav16k/STT_TT00772_0656_3979361_to_3981665.wav,འདི་ཚིག་ཤོག་གུ་ཉུང་ཉུང་རེད་དེ།
STT_TT00772_0657_3981729_to_3986849,ངོ་མ་ཞིག་བསམ་བློ་གཏང་ཡ་དང་། དཔེ་གཞུང་ཆེན་པོ་རེད་བསྡད་ཡོད་རེད། ལས་སླ་ཆོས་རྩ་ནས་བྱེད་ཡ་ཡོད་རེད། དེ་ལས་སླ་པོ་རྩ་ནས་ཡོད་མ་རེད།  ,ngo ma zhig bsam blo gtang ya dang /_dpe gzhung chen po red bsdad yod red/_las sla chos rtsa nas byed ya yod red/_de las sla po rtsa nas yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00772_0657_3981729_to_3986849.wav,STT_TT,2,124,5.12,wav16k/STT_TT00772_0657_3981729_to_3986849.wav,ངོ་མ་ཅིག་བསམ་བློ་གཏང་ཡ་དང་། དཔེ་གཞུང་ཆེན་པོ་རེད་བསྡད་ཡོད་རེད། ལས་སླ་ཆོས་རྩ་ནས་བྱེས་ཡོད་མ་རེད། དེ་ལས་སླ་པོ་རྩ་ནས་ཡོད་མ་རེད།
